adjective,gender,discipline,file_names,total_count,affect_count,judgement_count,appreciation_count,ambiguous_count,p_affect,p_judgement,p_appreciation,assigned_class,assigned_confidence,example_affect,example_judgement,example_appreciation,example_ambiguous
long,f,tech,Tech10_en.conllu || Tech11_en.conllu || Tech12_en.conllu || Tech13_en.conllu || Tech14_en.conllu || Tech3_en.conllu || Tech4_en.conllu,11,0,0,1,10,0.0,0.0,1.0,appreciation,1.0,,,"That 's a bit long , but it is sort of interesting .","If you look at the emissions associated with long - haul trucking and commercial aircraft , they add up to about five percent . || Now , if you 're paying attention to the money , a trillion dollars could go a long way to feeding and educating and employing people , all of which could reduce the threat of nuclear war to begin with . || And so this had me stymied for quite a long period of time . || And what this basically consists of is a large muscle that takes a good long time to contract , and a latch that prevents anything from moving . || It takes a long time for the muscle to contract , and a very short time for the limb to fly out ."
next,f,tech,Tech10_en.conllu || Tech12_en.conllu || Tech13_en.conllu || Tech1_en.conllu || Tech3_en.conllu || Tech4_en.conllu || Tech7_en.conllu || Tech8_en.conllu || Tech9_en.conllu,11,0,0,1,10,0.0,0.0,1.0,appreciation,1.0,,,The difference between seeing an image and imagining seeing that same image is next to nothing .,"This next image that I 'm showing you is a map of the Amazon rainforest . || So the next and final question was , well , how much force does a mantis shrimp produce if they 're able to break open snails ? || And I 'm as fiery as the next person , but I really think -- you know , different speakers have talked about their concern for the world , and my concern is that we have to have these conversations . || I think that we will see clinical application of this technology , certainly in adults , within the next 10 years . || I mean , you would n't go asking for a to - go cup at a Japanese tea ceremony so you could jet off to your next tourist stop ."
bad,f,tech,Tech11_en.conllu || Tech13_en.conllu || Tech5_en.conllu || Tech7_en.conllu || Tech8_en.conllu,10,1,0,0,9,1.0,0.0,0.0,affect,1.0,"It 's just a disc that roams around your floor to clean it , but just the fact it 's moving around on its own will cause people to name the Roomba and feel bad for the Roomba when it gets stuck under the couch .",,,"It would take a renaissance of sorts , the kinds of innovation that , for better or worse , underpinned both the Manhattan Project , which gave rise to nuclear weapons , and the Megatons to Megawatts program . || And the tone from the email was , you know , it had been a very bad day , obviously . || We 've got the mundane : bad - smelling clothes or bland food . || There , we uncovered a microorganism that could make novel antibiotics , antibiotics that can kill the world 's worst superbugs . || Now , I try to stay relatively hip to the latest trends and memes , so I knew that "" yo , bitch "" was also often a common greeting between friends , as well as being a popular "" Breaking Bad "" reference ."
possible,f,tech,Tech10_en.conllu || Tech11_en.conllu || Tech1_en.conllu || Tech6_en.conllu,9,1,0,2,6,0.3333,0.0,0.6667,appreciation,0.6667,They 're redefining what we all consider possible .,,"And it was through our research to understand the activity of this protein , Cas9 , that we realized that we could harness its function as a genetic engineering technology -- a way for scientists to delete or insert specific bits of DNA into cells with incredible precision -- that would offer opportunities to do things that really have n't been possible in the past . || If that 's possible to imagine .","Even though it 's difficult , it 's actually possible to do this . || I think of them as Generation Possible . || Nuclear weapons help win games . And that is really a shame , because right now , we need Generation Possible to help us make some really important decisions about nuclear weapons . || And yet , and yet , with all of our talk in this culture about moon shots , too few members of Generation Possible and those of us who mentor them are taking on nuclear weapons . || And I know Generation Possible believes it ."
incredible,f,tech,Tech11_en.conllu || Tech12_en.conllu || Tech1_en.conllu || Tech3_en.conllu || Tech9_en.conllu,8,0,0,1,7,0.0,0.0,1.0,appreciation,1.0,,,He gave us a challenge that would have been incredible just a few years earlier .,"Because in 1991 , which is the year that Jasmine was born and the Soviet Union fell , these two nations engaged in a project that genuinely does seem incredible today in the truest sense of that word , which is that the US sent cash to the Russians when they needed it most , to secure loose nuclear materials and to employ out - of - work nuclear scientists . They worked alongside American scientists to convert weapons - grade uranium into the type of fuel that can be used for nuclear power instead . || So we got this incredible video system . || So , really incredible forces . || You can see it coming in , and an incredible flash of light , and all this cavitation spreading over the surface of the snail . || And it was through our research to understand the activity of this protein , Cas9 , that we realized that we could harness its function as a genetic engineering technology -- a way for scientists to delete or insert specific bits of DNA into cells with incredible precision -- that would offer opportunities to do things that really have n't been possible in the past ."
enough,f,tech,Tech10_en.conllu || Tech11_en.conllu || Tech5_en.conllu,7,0,2,4,1,0.0,0.3333,0.6667,appreciation,0.6667,,"And although engineers and scientists are doing the invaluable work to accelerate these natural processes , it simply wo n't be enough . || We could have all of the clever thinking and technology in the world , but it 's not going to be enough in order for this technology to have a significant impact on climate .","Well actually , under the right circumstances , an amount of highly enriched uranium about the size of your morning latte would be enough to kill 100,000 people instantly . || But if that 's not enough to get your attention , there was the 1995 Black Brant incident . || Surely , 100 years will have been enough . || And after a few seconds , it starts to bother me a little , and I said , "" OK , that 's enough now .","You can see it has to be really , really wide in order to have a high enough surface area to process all of the air required , because remember , we 're trying to capture just 400 molecules out of a million ."
low,f,tech,Tech10_en.conllu || Tech12_en.conllu || Tech14_en.conllu || Tech6_en.conllu,7,0,0,1,6,0.0,0.0,1.0,appreciation,1.0,,,"These institutions helped us manage our trade as the uncertainty and the complexity grew , and our personal control was much lower .","There 's a company today , a commercial - scale company , that can do this as low as 600 dollars a ton . || I argue that we should not see negative emissions as a replacement for stopping pollution , but rather , as an addition to an existing portfolio that includes everything , from increased energy efficiency to low - energy carbon to improved farming -- will all collectively get us on a path to net - zero emissions one day . || It 's very new technology -- it just came out about a year ago -- that allows you to film at extremely high speeds in low light . || And low light is a critical issue with filming animals , because if it 's too high , you fry them . || And when this happens , it can cause areas of very low pressure , which results in the water literally vaporizing ."
open,f,tech,Tech12_en.conllu || Tech14_en.conllu,7,0,0,1,6,0.0,0.0,1.0,appreciation,1.0,,,"And a few smashes later , the snail is broken open , and he 's got a good dinner .","So the next and final question was , well , how much force does a mantis shrimp produce if they 're able to break open snails ? || On Wikipedia , it 's an open platform that stores words and images and the changes to that data over time . || On the blockchain , you can think of it as an open infrastructure that stores many kinds of assets . || Blockchains allow for us to create an open , global platform on which to store any attestation about any individual from any source . || The last uncertainty that we often face is one of the most open - ended , and it 's reneging ."
strong,f,tech,Tech10_en.conllu || Tech12_en.conllu || Tech1_en.conllu,7,0,1,2,4,0.0,0.3333,0.6667,appreciation,0.6667,,"It 's also known to quite a few people who make jewelry , because it requires very little material to build this type of surface , and it 's very strong .","CO2 is so dilute in the air , that material is binding it really strong , and so you need a lot of heat in order to recycle the material . || So if you 're going to build a thin gold structure , it 's very nice to have it in a shape that 's strong .","The CO2 in the air is separated [ by ] the liquid by reacting with the really strong - binding CO2 molecules in solution . || And this is very well known to engineers and architects , because it 's a very strong surface in compression . || And one of the reasons why he designed roofs this way is because it 's -- he found it fascinating that you could build such a strong structure that 's made of so few materials and can be supported by so few points . || Imagine that we could try to engineer humans that have enhanced properties , such as stronger bones , or less susceptibility to cardiovascular disease or even to have properties that we would consider maybe to be desirable , like a different eye color or to be taller , things like that ."
large,f,tech,Tech10_en.conllu || Tech12_en.conllu || Tech5_en.conllu || Tech9_en.conllu,7,0,0,2,5,0.0,0.0,1.0,appreciation,1.0,,,"These are not large enough to solve our climate crisis , and so what we need to do is we need to actually think about what it could take . || And so if we had an alternative approach and used wind or solar to do this , the land area would be about 15 times larger , looking at the state of New Jersey now .","And what this basically consists of is a large muscle that takes a good long time to contract , and a latch that prevents anything from moving . || I have to do a little bit more background reading , but I think this will be the largest amount of force produced by an animal of a given -- per body mass . || But there 's a really large second peak half a millisecond later , and I did n't know what that was . || Now this is just a little study , but it 's part of a larger body of research that is starting to indicate that there may be a connection between people 's tendencies for empathy and their behavior around robots . || In this experiment , individuals were shown hundreds of hours of YouTube videos while scans were made of their brains to create a large library of their brain reacting to video sequences ."
simple,f,tech,Tech12_en.conllu || Tech4_en.conllu || Tech5_en.conllu || Tech9_en.conllu,7,0,1,3,3,0.0,0.25,0.75,appreciation,0.75,,"There are those today that dispute that , and lots of debates about how the mind works , but for me it 's simple :","And this is just very simple -- time is on the X - axis and the force is on the Y - axis . || But what if the answer was really simple : make all the prices public all the time . || But when we talk about these clear effects , we 're looking at a real issue that 's actually very simple .","We called doctors and hospitals and asked them what they would accept as a cash payment for simple procedures . || New Orleans , the same simple blood test , 19 dollars over here , 522 dollars just a few blocks away . || And research shows that we do this even with very simple household robots , like the Roomba vacuum cleaner ."
public,f,tech,Tech13_en.conllu || Tech14_en.conllu || Tech4_en.conllu,6,1,0,0,5,1.0,0.0,0.0,affect,1.0,But what if the answer was really simple : make all the prices public all the time .,,,"So , I called back Major Heilshorn , who 's the public affairs officer of the New Hampshire National Guard . || It 's basically a public registry of who owns what and who transacts what . || It 's this public registry that stores transactions in a network and is replicated so that it 's very secure and hard to tamper with . || In partnership with public radio station WNYC here in New York , we asked women to tell us the prices of their mammograms . || Let 's face it : this huge , slow - rolling public health crisis is a national emergency ."
new,m,art,Art11_en.conllu || Art12_en.conllu || Art13_en.conllu || Art14_en.conllu || Art2_en.conllu || Art6_en.conllu || Art7_en.conllu || Art8_en.conllu || Art9_en.conllu,45,0,0,1,44,0.0,0.0,1.0,appreciation,1.0,,,"So the idea of an open architecture , an open knowledge , is not new to my neck of the desert .","So two people who grew up in the Great Depression , there in the very , very early ' 80s took on a new kid . || I was the Cousin Oliver of the sitcom of the Krosoczka family , the new kid who came out of nowhere . || You know , the school newspaper needs a new cartoonist , and you should be the cartoonist . || Please let me know if you 're ever in New York City . "" || So the next week I "" happened "" to be in New York ."
great,m,art,Art11_en.conllu || Art12_en.conllu || Art13_en.conllu || Art14_en.conllu || Art15_en.conllu || Art6_en.conllu || Art7_en.conllu || Art8_en.conllu,30,1,1,2,26,0.25,0.25,0.5,appreciation,0.5,"And I had a show in London recently where my friends invited me to come to London for four days to sit in a sandbox , and I said great .",It feels great .,"The browser was great , but the browser was very primitive , very narrow bandwidth . || It 's like , art is supposed to be enigmatic , so when you say , like , "" I do n't get it , "" like , oh , that 's great .","So two people who grew up in the Great Depression , there in the very , very early ' 80s took on a new kid . || Rusty , who was a great hamster and lived a great long life when I was in fourth grade . || I kept making comics , and at the Worcester Art Museum , I was given the greatest piece of advice by any educator I was ever given . || He said , "" You have a great style . || And I travel the country visiting countless schools , letting lots of kids know that they draw great cats ."
old,m,art,Art11_en.conllu || Art13_en.conllu || Art14_en.conllu || Art15_en.conllu || Art2_en.conllu || Art6_en.conllu || Art7_en.conllu,27,0,7,2,18,0.0,0.7778,0.2222,judgement,0.7778,,"For obvious reasons , it does n't seem that old anymore to me . || And Moi is 35 years old . || This is Yadira , and Yadira is five years old . || And the shopkeeper would say , "" It 's old . "" "" Tell us more . "" "" Oh , it 's really old . "" And he saw , over and over , the antique 's value was all about it being old . || And he realized , it is n't about old or new .","This is 20 years old , so it 's kind of a -- Let 's see , this is — I love the French film "" The Red Balloon . "" || And the shopkeeper would say , "" It 's old . "" "" Tell us more . "" "" Oh , it 's really old . "" And he saw , over and over , the antique 's value was all about it being old .","For a two - year - old , that is like a tattoo . || That was easy , but then I made the decision , maybe arbitrary , that they needed to be people of a certain age , which at that point , when I created this program , seemed really old . || But the second part of it -- and the older I get , the more convinced I am that that 's true . It 's amazing what people will say when they know how the story turned out . || That 's the one advantage that older people have . || And she said , "" I 'm his old girlfriend , Maureen Stapleton , and I could never do it . """
different,m,art,Art12_en.conllu || Art13_en.conllu || Art14_en.conllu || Art15_en.conllu || Art6_en.conllu || Art7_en.conllu || Art9_en.conllu,20,0,0,1,19,0.0,0.0,1.0,appreciation,1.0,,,Fair enough . But I wanted interviews that were different .,"And now it 's 2010 , and there are 99 heroes from 99 different countries . || And he controls them from the top down -- whereas when they work for the other side , eventually , when they find out this is the wrong person , they 've been manipulated , they actually , each one has a different , colorful kind of dress . || It 's about mappings between different perceptual domains , like hardness , sharpness , brightness and darkness , and the phonemes that we 're able to speak with . || And so I 've been beginning , with a variety of different projects , to understand how people can relate to machines with their eyes . || The idea is that it 's an image wholly constructed from its own history of being viewed by different people in an installation ."
amazing,m,art,Art11_en.conllu || Art12_en.conllu || Art13_en.conllu || Art6_en.conllu || Art7_en.conllu,19,0,3,1,15,0.0,0.75,0.25,judgement,0.75,,"It was amazing . || It 's , like , amazing , right ? || It 's just amazing , Fear .","But the biggest thing we 've done to date , which is just amazing , is that we 've done a 26 - episode animated series , which is done for global audiences : in fact , we 're already going to be in the U.S. and Turkey , we know .","Mark Lynch , he 's an amazing teacher and he 's still a dear friend of mine , and I was 14 or 15 , and I walked into his comic book class halfway through the course , and I was so excited , I was beaming . || But it was around this time I went to Camp Sunshine to volunteer a week and working with the most amazing kids , kids with leukemia , and this kid Eric changed my life . || And I sent this book out to a dozen publishers and it was rejected every single time , but I was also involved with the Hole in the Wall Gang Camp , an amazing camp for kids with all sorts of critical illnesses , and it 's those kids at the camp that read my stories , and I read to them , and I saw that they responded to my work . || And I get the most amazing fan mail , and I get the most amazing projects , and the biggest moment for me came last Halloween . || The National Portrait Gallery is the place dedicated to presenting great American lives , amazing people ."
free,m,art,Art12_en.conllu || Art2_en.conllu || Art6_en.conllu || Art7_en.conllu,17,2,1,0,14,0.6667,0.3333,0.0,affect,0.6667,"The second you recognize it , feel free to stand . || And I can add in a blue gradient and a dove , and I have , like , Don Draper free .","It 's like , yes , I can be free .",,"As an undergrad at Tufts University , we were giving away free falafel one day and , you know , it was Middle East Day or something . And people came up and picked up the culturally resonant image of the falafel , ate it and , you know , talked and left . || And no two people could disagree about what the word free was and what the word falafel was , behind us , "" free falafel . "" You know . || He created Free Shakespeare in the Park . || And Free Shakespeare in the Park is based on a very simple idea , the idea that the best theater , the best art that we can produce , should go to everybody and belong to everybody , and to this day , every summer night in Central Park , 2,000 people are lining up to see the best theater we can provide for free . || If you just change one letter in that content , you get a much better word , much better content : free ."
same,m,art,Art12_en.conllu || Art14_en.conllu || Art15_en.conllu || Art2_en.conllu || Art6_en.conllu || Art7_en.conllu || Art8_en.conllu,16,0,0,1,15,0.0,0.0,1.0,appreciation,1.0,,,"Content is the same , but you feel differently .","These are clearly biblical archetypes , and the thinking behind that was to create positive , globally - resonating storylines that could be tied to the same things that other people were pulling mean messages out of because then the person that 's using religion for the wrong purpose just becomes a bad man with a bad message . || And by stopping them , he has more of a fascist agenda , where he gets some of The 99 to work for him -- they 're all wearing cookie - cutter , same color uniforms . || So these are our live subtitles , that are being produced by a computer that knows the text of "" The Ursonate "" -- fortunately Jaap does too , very well -- and it is delivering that text at the same time as Jaap is . || And at the same time , it attempts to engage in what you might call familiar psycho-social gaze behaviors . || Same thing : gave her a picture , she held it up to her forehead ."
right,m,art,Art12_en.conllu || Art13_en.conllu || Art2_en.conllu || Art7_en.conllu,14,0,1,3,10,0.0,0.25,0.75,appreciation,0.75,,"If you hit G , life 's okay , so I always say , "" Hit G , and it 's going to be all right .","It became a question my entire life , and that 's all right , because being good at math meant he bought me a computer , and some of you remember this computer , this was my first computer . || A traditional leader is always wanting to be right , whereas a creative leader hopes to be right .","Number one , we have a thing within Islam that you do n't leave a boy and a girl alone together , because the third person is temptation or the devil , right ? || I think that 's there in all cultures , right ? || Now I went to Dubai , to an Arab Thought Foundation Conference , and I was waiting by the coffee for the right journalist . || Like I care , right ? || But really the most important question I ever asked , and most of the times when I talk about it , people kind of suck in their breath at my audacity , or cruelty , but I promise you it was the right question ."
second,m,art,Art11_en.conllu || Art12_en.conllu || Art13_en.conllu || Art15_en.conllu || Art2_en.conllu || Art8_en.conllu || Art9_en.conllu,14,0,1,0,13,0.0,1.0,0.0,judgement,1.0,,"And for him , it 's only his second .",,"And after begging and pleading for Christmas , I got a second - hand video camera , and I instantly started making my own animations on my own , and all throughout high school I made my own animations . || The first is the fall of Granada , the last Muslim enclave in Europe . The second is Columbus finally gets funded to go to India , but he gets lost . || The second one was about a woman complaining because three minivans with six bearded men pulled up and started interrogating her on the spot for talking to a man who was n't related to her . || The second one , they were actually split between Saudi and Afghanistan . || The second one took place in upstate New York . It was an Orthodox Jewish community ."
big,m,art,Art11_en.conllu || Art12_en.conllu || Art13_en.conllu || Art14_en.conllu || Art15_en.conllu || Art2_en.conllu || Art7_en.conllu || Art9_en.conllu,14,1,0,0,13,1.0,0.0,0.0,affect,1.0,"You take the same Ultra Light Helvetica and make it big , and like , whoa , that hurts .",,,"The local bookstore made a big deal of it . || And I get the most amazing fan mail , and I get the most amazing projects , and the biggest moment for me came last Halloween . || So the biggest moment for me , though , my most important job now is I am a dad myself , and I have two beautiful daughters , and my goal is to surround them by inspiration , by the books that are in every single room of our house to the murals I painted in their rooms to the moments for creativity where you find , in quiet times , by making faces on the patio to letting her sit in the very desk that I 've sat in for the past 20 years . || Bruce Wayne is in his bedroom when a big bat flies over his head , and he sees it as an omen to become Batman . || They 're writing in big handwriting to take more gold . """
bad,m,art,Art12_en.conllu || Art13_en.conllu || Art7_en.conllu || Art8_en.conllu,13,0,0,2,11,0.0,0.0,1.0,appreciation,1.0,,,"And so I sat in a sandbox for four days straight , six hours every day , six - minute appointments with anyone in London , and that was really bad . || I mean , having a long - term sub is bad enough , but having a sub for your sub ? That 's the worst .","These are clearly biblical archetypes , and the thinking behind that was to create positive , globally - resonating storylines that could be tied to the same things that other people were pulling mean messages out of because then the person that 's using religion for the wrong purpose just becomes a bad man with a bad message . || Now the main bad guy , Rughal , does not want these stones to update , so he 's trying to get them to stop updating . || The bad news is they were all photocopies , so we did n't make a dime in revenue . || The worst interviews that you can ever have are with people who are modest . || The worst interview I ever did : William L. Shirer ."
important,m,art,Art11_en.conllu || Art12_en.conllu || Art13_en.conllu || Art15_en.conllu || Art2_en.conllu || Art7_en.conllu,11,0,2,3,6,0.0,0.4,0.6,appreciation,0.6,,"Then there 's the celebrity interview , where it 's more important who 's asking the question than who answers . || That 's Frost - Nixon , where Frost seems to be as important as Nixon in that process .","And that 's why languages are so important , because they give us access to new worlds , not just people . || And this frame is important today , in this complex , ambiguous space , and artists and designers have a lot to teach us , I believe . || So these kind of systems , I believe , are important .","So the biggest moment for me , though , my most important job now is I am a dad myself , and I have two beautiful daughters , and my goal is to surround them by inspiration , by the books that are in every single room of our house to the murals I painted in their rooms to the moments for creativity where you find , in quiet times , by making faces on the patio to letting her sit in the very desk that I 've sat in for the past 20 years . || But in 1492 , two important things happen . || But really the most important question I ever asked , and most of the times when I talk about it , people kind of suck in their breath at my audacity , or cruelty , but I promise you it was the right question . || You know , getting kids used to different realities , I think , is so important . || Because I believe that language of being the minority is one of the most important languages you can ever speak in your life , because how you feel in that position of compromise will directly determine how you act in that position of power ."
young,m,art,Art11_en.conllu || Art12_en.conllu || Art13_en.conllu || Art15_en.conllu || Art2_en.conllu || Art9_en.conllu,10,1,0,0,9,1.0,0.0,0.0,affect,1.0,Another object or image that captured my imagination when I was younger was a Klan robe .,,,"So I learned to write about myself in third person at a young age . || So after this experience , my art teacher , Mr. Shilale , he brought in these picture books , and I thought , "" Picture books for kids ! "" and I started writing books for young readers when I was a senior in high school . || As Christian iconography got changed , and swastikas were created out of crucifixes , Batman and Superman were created by Jewish young men in the United States and Canada , also going back to the Bible . || And it had nothing to do with the energy of being young . || And then she turned to me and said , "" And you know what those young actors did ?"
extraordinary,m,art,Art13_en.conllu || Art6_en.conllu,10,0,1,0,9,0.0,1.0,0.0,judgement,1.0,,"At the time that I proposed to her that -- by the way , I would have proposed to her ; she was extraordinary -- but proposed to her that she come on . She said , "" Come to my apartment . """,,"It 's energy that creates extraordinary interviews and extraordinary lives . || And so he filled the room , and we had an extraordinary conversation . || There 's an extraordinary woman named Clare Boothe Luce . || She did an extraordinary play called "" The Women . "" || And she looked at me , and it was like the successful arm - wrestle , and then , after that , she delivered an extraordinary account of what her life really was like ."
full,m,art,Art11_en.conllu || Art12_en.conllu || Art13_en.conllu || Art14_en.conllu || Art6_en.conllu || Art7_en.conllu,9,0,0,1,8,0.0,0.0,1.0,appreciation,1.0,,,"But if you walk into a live theater and you see that the theater is half full , your heart sinks .","So I use my imagination as my full - time job . || So flurry of phone calls and emails from The New York Times . Next thing you knew , there 's a full page covering us positively , January 22nd , 2006 , which changed our lives forever , because anybody Googling Islam and cartoon or Islam and comic , guess what they got ; they got me . || Anything that I would ask , she would turn around , dismiss , and I was basically up there -- any of you in the moderate - to - full entertainment world know what it is to die onstage . || How can we get away from the mouse and use our full bodies as a way of exploring aesthetic experiences , not necessarily utilitarian ones . || So in addition to using full - body input , something that I 've explored now , for a while , has been the use of the voice , which is an immensely expressive system for us , vocalizing ."
wrong,m,art,Art12_en.conllu || Art2_en.conllu || Art6_en.conllu || Art7_en.conllu || Art8_en.conllu,9,3,1,0,5,0.75,0.25,0.0,affect,0.75,"I was wrong . || But again , I was wrong . || I thought it was pretty awesome . I was pretty certain that my students would love it , but I was wrong .",He was wrong .,,"These are clearly biblical archetypes , and the thinking behind that was to create positive , globally - resonating storylines that could be tied to the same things that other people were pulling mean messages out of because then the person that 's using religion for the wrong purpose just becomes a bad man with a bad message . || And he controls them from the top down -- whereas when they work for the other side , eventually , when they find out this is the wrong person , they 've been manipulated , they actually , each one has a different , colorful kind of dress . || I 'm hurt and broke down and be flowin' about it , goin ' about it wrong ' cause I did n't allow it . || I looked at that boycott and I said , we 're getting something wrong here . || It would say you 're wrong most of the time ."
creative,m,art,Art11_en.conllu || Art14_en.conllu || Art7_en.conllu || Art8_en.conllu,9,0,0,1,8,0.0,0.0,1.0,appreciation,1.0,,,"So as people make shapes with their hands or their heads and so forth , or with each other , these shapes literally produce sounds and drop out of thin air -- basically taking what 's often this , kind of , unseen space , or this undetected space , and making it something real , that people then can appreciate and become creative with .","And they supported my creative efforts , because my grandfather was a self - made man . || I want people to discover themselves as actors , as creative actors , by having interactive experiences . || So again , people discover their creative agency in this way . || How art , technology and design inform creative leaders || This is work I did with my colleague Becky Bermont on creative leadership ."
able,m,art,Art11_en.conllu || Art12_en.conllu || Art14_en.conllu || Art7_en.conllu || Art8_en.conllu,9,2,0,3,4,0.4,0.0,0.6,appreciation,0.6,"We 've been able to license The 99 comic books into eight languages so far -- Chinese , Indonesian , Hindi , Urdu , Turkish . || It 's about mappings between different perceptual domains , like hardness , sharpness , brightness and darkness , and the phonemes that we 're able to speak with .",,"Mujiba , from Malaysia : her main power is she 's able to answer any question . || If a computer speech recognition system is able to recognize what you 're saying , then it spells it out . || Leaders might be able to use these systems to better regulate how they work inside the heterarchy .","And I loved that thought , of being able to share my ideas through the printed page . || So the librarians find out and they get together a special solution , a chemical solution called King 's Water , that when mixed with 99 stones would be able to save all that culture and history in the books . || And it 's one of the most interesting technical challenges that 's very currently active in the computer sciences : being able to have a camera that can understand , from a fairly big distance away , how these little tiny balls are actually pointing in one way or another to reveal what you 're interested in , and where your attention is directed . || The Standard states that students ought to be able to analyze how visual elements contribute to the meaning , tone and beauty of a text ."
certain,m,art,Art13_en.conllu || Art6_en.conllu || Art8_en.conllu,8,2,0,0,6,1.0,0.0,0.0,affect,1.0,"My parents definitely were not fans , and I was certain that my teachers would n't be either . || I thought it was pretty awesome . I was pretty certain that my students would love it , but I was wrong .",,,"That was easy , but then I made the decision , maybe arbitrary , that they needed to be people of a certain age , which at that point , when I created this program , seemed really old . || It all has to do with that shell that most of us have , and particularly certain people . || Then at a certain moment , the door opened and she walked out perfectly dressed , completely composed . || And at the end of the show , we read what I feel was a very respectful statement from the stage , and Vice President - elect Pence listened to it , but it sparked a certain amount of outrage , a tweetstorm , and also an internet boycott of "" Hamilton "" from outraged people who had felt we had treated him with disrespect . || So for certain students and certain kinds of information , these two aspects of the comics medium , its visual nature and its permanence , make it an incredibly powerful educational tool ."
long,m,art,Art11_en.conllu || Art12_en.conllu || Art14_en.conllu || Art8_en.conllu || Art9_en.conllu,7,0,0,1,6,0.0,0.0,1.0,appreciation,1.0,,,"And I 'm going to show a video of the older version of it , which is just a minute long .","Rusty , who was a great hamster and lived a great long life when I was in fourth grade . || I 've seen people have "" Punk Farm "" birthday parties , people have dressed up as "" Punk Farm "" for Halloween , a "" Punk Farm "" baby room , which makes me a little nervous for the child 's well - being in the long term . || And that led to all kinds of things , from being in curricula in universities and schools to -- one of my favorite pictures I have from South Asia , it was a couple of men with long beards and a lot of girls wearing the hijab -- it looked like a school . || I was asked to long - term sub it , and I said yes , but there was a problem . || I mean , having a long - term sub is bad enough , but having a sub for your sub ? That 's the worst ."
good,m,bus,Bus11_en.conllu || Bus12_en.conllu || Bus16_en.conllu || Bus2_en.conllu || Bus3_en.conllu || Bus4_en.conllu || Bus5_en.conllu || Bus6_en.conllu || Bus8_en.conllu,56,4,1,10,41,0.2667,0.0667,0.6667,appreciation,0.6667,"Mastery : the desire to get better and better at something that matters . || And I did n't like following instructions , I was no good at following instructions . || Neuroscientists tell me it has to do with how are brains are prewired . There 's a part of our brain that would like to know our mistakes and like to look at our weaknesses so we could do better . || Then we can see , we 've got teams that spend on themselves and these pro-social teams who we give money to make the team better .","But when you give them 15 euro to spend on their teammates , they do so much better on their teams that you actually get a huge win on investing this kind of money .","And this was not good enough for him , and this question bedeviled him for years . || The quality of the tomato paste is much better ; the spice mix is far superior ; it adheres to the pasta in a much more pleasing way . || As long as the task involved only mechanical skill bonuses worked as they would be expected : the higher the pay , the better the performance . || But if you want engagement , self - direction works better . || Whether you like it or not , radical transparency and algorithmic decision - making is coming at you fast , and it 's going to change your life . That 's because it 's now easy to take algorithms and embed them into computers and gather all that data that you 're leaving on yourself all over the place , and know what you 're like , and then direct the computers to interact with you in ways that are better than most people can .","I had a friend who worked at a pickle factory , and the cucumbers would come flying down this conveyer belt , and his job was to pick off the ones that did n't look so good and throw them in the bin labeled "" relish "" where they 'd be crushed and mixed with vinegar and used for other kinds of profit . || And third is , and I 'm taking this from the great American beat poet Allen Ginsberg , that alternate economies barter and different kinds of currency , alternate currencies are also very important , and he talked about buying what he needed just with his good looks . || But it was , technically speaking -- this is an aside -- Prego is a better tomato sauce than Ragù . || And after they ate each bowl , they had to rate , from 0 to 100 , how good they thought the spaghetti sauce was . || And today , if you go to a really good supermarket , do you know how many Ragùs there are ?"
right,m,bus,Bus11_en.conllu || Bus12_en.conllu || Bus16_en.conllu || Bus2_en.conllu || Bus3_en.conllu || Bus4_en.conllu || Bus8_en.conllu,40,2,0,1,37,0.6667,0.0,0.3333,affect,0.6667,"Rather than thinking , "" I 'm right , "" I started to ask myself , "" How do I know I 'm right ? """,,"They see their own opinions as just one of many and naturally start asking themselves , "" How do I know my opinion is right ? ""","It 's right there for you to find . || It 's worth 1.5 trillion dollars every year , and that 's a vast amount of money , right ? || You know , China has no — no intellectual property , right ? || All of System D really does n't pay taxes , right ? || There was one company that paid 4,000 bribes in the first decade of this millennium , and a million dollars in bribes every business day , right ?"
great,m,bus,Bus11_en.conllu || Bus12_en.conllu || Bus16_en.conllu || Bus2_en.conllu || Bus3_en.conllu || Bus4_en.conllu || Bus7_en.conllu || Bus8_en.conllu,33,0,0,5,28,0.0,0.0,1.0,appreciation,1.0,,,Management is great . || Traditional notions of management are great if you want compliance . || Is n't that great ? || That 's great . || And that 's been great .,"And third is , and I 'm taking this from the great American beat poet Allen Ginsberg , that alternate economies barter and different kinds of currency , alternate currencies are also very important , and he talked about buying what he needed just with his good looks . || So I decided instead , I would talk about someone who I think has done as much to make Americans happy as perhaps anyone over the last 20 years , a man who is a great personal hero of mine : someone by the name of Howard Moskowitz , who is most famous for reinventing spaghetti sauce . || Howard 's about this high , and he 's round , and he 's in his 60s , and he has big huge glasses and thinning gray hair , and he has a kind of wonderful exuberance and vitality , and he has a parrot , and he loves the opera , and he 's a great aficionado of medieval history . || What is the great revolution in science of the last 10 , 15 years ? || And for that , we owe him a great vote of thanks ."
